"","logFC","logCPM","PValue","FDR","ID"
"16277",2.11789621542842,4.8438340964935,1.08053736156718e-16,3.82266575413253e-14,"16277"
"23631",2.06966987887286,5.31138570789678,1.10265181460976e-16,3.86302822623235e-14,"23631"
"17782",7.48100527973461,0.435989673140148,1.68843805215327e-16,5.85839299153374e-14,"17782"
"41187",2.19932288336414,4.12664041313492,2.0604528079541e-16,7.0810894833356e-14,"41187"
"29534",2.02444007811042,5.75483416512491,2.26963948977928e-16,7.72640952723447e-14,"29534"
"8499",3.11912408831233,1.97243063891112,2.37930243337868e-16,7.9497341026361e-14,"8499"
"33876",2.02374532655833,6.14432257958566,2.42321044481788e-16,8.02216044965627e-14,"33876"
"7806",3.35793824964552,1.60912883278759,2.83810143188627e-16,9.31026274269237e-14,"7806"
"37539",2.93737659468335,2.03369202033709,3.34633108850098e-16,1.08785907503205e-13,"37539"
"41189",2.29934462499208,3.53224837685705,4.48365760530599e-16,1.44457843470952e-13,"41189"
"24656",2.00960920028956,5.76608298299243,5.34921530431781e-16,1.70819853324166e-13,"24656"
"23636",4.16322469570105,1.36173262374997,5.98115755846373e-16,1.89324623243126e-13,"23636"
"41190",2.17497079815359,4.06356191081869,6.1927644269422e-16,1.94318177692356e-13,"41190"
"37540",3.00962652704885,1.89432966741116,7.01080503764374e-16,2.18090430847737e-13,"37540"
"18038",3.25785235376694,1.66345287262489,7.19086806564041e-16,2.2177989243473e-13,"18038"
"20772",3.61538766346805,1.25285584905998,7.68984324627013e-16,2.35159316560727e-13,"20772"
"39086",2.69174030122221,2.29919371299416,9.16128300381254e-16,2.7780243461561e-13,"39086"
"3474",4.11868200095486,1.60724953597962,1.19785221736373e-15,3.5722725011215e-13,"3474"
"30230",2.69696103047264,2.28195489758242,1.32895756048547e-15,3.93077324345232e-13,"30230"
"27852",2.14266985245015,3.95293092830797,2.0847831226768e-15,6.1162112993327e-13,"27852"
"12896",7.36215023766988,0.435260400948231,2.38811111294137e-15,6.94959592826527e-13,"12896"
"18036",2.6158242216257,2.33020726684688,3.19820157352211e-15,9.23256830244363e-13,"18036"
"19640",1.98665578694651,4.89556771534902,3.86936054927668e-15,1.09941634189487e-12,"19640"
"39079",3.75395063880506,1.1912459710147,4.44943390918043e-15,1.25435798916231e-12,"39079"
"15062",3.86821230996998,1.28067405687691,6.71242448803187e-15,1.86321413577408e-12,"15062"
"41188",2.10491055046529,3.88271641997835,1.07220550033638e-14,2.95347599081209e-12,"41188"
"3408",2.20396942786807,3.40805230655272,1.25627092521254e-14,3.43428305577989e-12,"3408"
"13926",2.90250707897951,1.8795429551094,1.8987420903091e-14,5.11314241259731e-12,"13926"
"13808",1.82892954502807,6.67071282278256,2.0878338372837e-14,5.58070251988018e-12,"13808"
"34353",5.54130185864508,0.613389260517096,2.33633522071303e-14,6.19901885584043e-12,"34353"
"40141",3.17019821530099,2.59587550144706,3.0557449522174e-14,8.04865376647918e-12,"40141"
"16405",2.08832592432079,3.65452163275382,3.10306686903023e-14,8.11407014267796e-12,"16405"
"1280",4.87407022180336,1.24930147959627,3.53982391802547e-14,9.18953568934886e-12,"1280"
"13925",2.83782630084022,1.84163178495857,4.89409032959314e-14,1.25250531591041e-11,"13925"
"4266",4.82572400689462,0.518247166963122,5.3530248698603e-14,1.36030917203457e-11,"4266"
"14729",1.97633233280142,4.13712874487311,5.65049532185662e-14,1.41940048971618e-11,"14729"
"30841",2.22682828284236,3.21774357038526,5.66422808699266e-14,1.41940048971618e-11,"30841"
"13923",3.33517192144864,1.48983742447212,6.41792368541292e-14,1.59717776681466e-11,"13923"
"7248",1.8945895674043,4.99993840133239,6.77287555938354e-14,1.67396722301613e-11,"7248"
"16276",1.88667385298025,4.81292415434477,7.48574756719777e-14,1.83757279566212e-11,"16276"
"39674",2.63451540916723,2.75182429409241,7.81285676148461e-14,1.904911731339e-11,"39674"
"26035",1.85869307727159,5.35879797026235,9.09872285773983e-14,2.20353969343317e-11,"26035"
"22923",1.93021962065759,4.46038598044279,1.28212435719301e-13,3.07883944745717e-11,"22923"
"13924",2.79062872565309,1.70383666709874,1.28836014013034e-13,3.07883944745717e-11,"13924"
"9068",2.15290760694127,3.32595523634676,2.00193157387716e-13,4.75261189758931e-11,"9068"
"14510",2.92878183448729,1.74488063813751,2.03575375231609e-13,4.80131857204747e-11,"14510"
"4970",1.99012252258927,4.32534068006659,2.12643305575326e-13,4.98261927382183e-11,"4970"
"39445",2.48643023097681,2.26311978250464,2.1541837720079e-13,5.01507880083259e-11,"39445"
"40204",2.10446279884814,3.18146490131619,2.73981350525264e-13,6.33757502160522e-11,"40204"
"2782",2.21638453282318,2.88930853224138,3.17465430599712e-13,7.29664972177746e-11,"2782"
"15275",2.04328837242587,3.63078937609643,3.9947592243106e-13,9.12347383602835e-11,"15275"
"17633",4.71731173487041,0.528443109753094,4.36472013152345e-13,9.90571861295747e-11,"17633"
"27853",1.92781186917088,3.88109807329113,6.04771940635285e-13,1.36394971736402e-10,"27853"
"22924",1.86786994935338,4.50433044682774,6.28654734800651e-13,1.40900659039015e-10,"22924"
"6406",2.15771737451282,3.30764379117576,9.62482902999298e-13,2.1307481935417e-10,"6406"
"9695",2.12520382101514,3.23399181374169,1.12009441678356e-12,2.46454920912408e-10,"9695"
"27851",1.89149815567066,3.90777288275222,1.2586020149869e-12,2.75252446732136e-10,"27851"
"16420",1.75514809595524,5.54574970931482,1.33118068281259e-12,2.89371415296941e-10,"16420"
"9568",1.7376691916152,5.72345741752394,1.64727872038243e-12,3.53821741815477e-10,"9568"
"16419",1.76993016340178,5.15178185849776,1.71277749646345e-12,3.65713467218247e-10,"16419"
"35510",1.78887710503964,4.68733329018923,1.73100572928265e-12,3.6743142200685e-10,"35510"
"9762",2.18486563629214,2.71202536720667,1.83037908275817e-12,3.86252802346951e-10,"9762"
"38378",2.09497047969313,2.87241499384639,2.03647093868032e-12,4.27244498966739e-10,"38378"
"1536",1.88856144131482,3.90867505837781,2.51536758439209e-12,5.21649651050509e-10,"1536"
"15637",1.87336148327805,3.6692121877183,2.65869851603467e-12,5.48223634006349e-10,"15637"
"30520",2.42688109292252,2.13556588541426,2.69049918868031e-12,5.51628768315505e-10,"30520"
"17438",7.0120702410808,0.656276834070122,2.72492382462111e-12,5.52409416918274e-10,"17438"
"23142",6.95010783959323,0.159795776962307,2.72492382462111e-12,5.52409416918274e-10,"23142"
"31502",2.16241706441966,2.9834250093807,3.92144530860632e-12,7.77501944840985e-10,"31502"
"24049",1.74672611129375,4.76474695216449,4.39777015631549e-12,8.66617053178441e-10,"24049"
"9992",1.89418986356074,3.82801271972515,4.41894243549489e-12,8.66617053178441e-10,"9992"
"11434",1.81419773029986,4.10528614201533,5.52462553217429e-12,1.07760060718113e-09,"11434"
"39124",1.61709129322483,7.50076453365887,9.0039233284227e-12,1.74680953390394e-09,"39124"
"6367",2.7071879007915,1.54377915055336,1.04000771523926e-11,2.00688119809672e-09,"6367"
"22925",1.78727241593984,4.19840686930328,1.30366862337396e-11,2.50228097204518e-09,"22925"
"9488",1.85474710919405,3.62657819253034,1.42622922162782e-11,2.72304134721904e-09,"9488"
"14216",1.91169595619056,3.28481571919464,1.47838005545502e-11,2.80775496321549e-09,"14216"
"31503",2.0626336397783,2.99475588525391,1.67816327928099e-11,3.17049853051595e-09,"31503"
"4674",1.69390856359925,4.7963529594548,1.69603368065165e-11,3.18757163366224e-09,"4674"
"40614",1.78016368195164,4.09652972439074,1.97421293507472e-11,3.69116444363582e-09,"40614"
"40216",2.227043030303,2.18071207285562,2.13478164052255e-11,3.97080389166269e-09,"40216"
"32121",2.25441677759657,2.08680097321245,2.5933456963409e-11,4.79901945910058e-09,"32121"
"12928",1.56816392055286,6.65973643257493,4.17259558571128e-11,7.68204651583631e-09,"12928"
"16421",1.60648116911555,5.659619162233,4.85502637191635e-11,8.89307749393916e-09,"16421"
"26095",1.850618743452,3.71721383918196,5.10157799245232e-11,9.29749706351728e-09,"26095"
"32413",5.09650474501555,0.37582460042113,5.22853974184507e-11,9.48099781831555e-09,"32413"
"20828",4.43610534013511,0.343374292273421,5.32124994474276e-11,9.60086521280212e-09,"20828"
"17634",6.74069526797412,-0.0307333488610866,5.48226081721605e-11,9.84215828802195e-09,"17634"
"7627",2.4289927501106,1.77320129091763,6.13009277872924e-11,1.09507127683388e-08,"7627"
"16418",1.58928637932339,5.74782401436548,7.20032590764277e-11,1.2736458842024e-08,"16418"
"9493",1.7357812371306,4.03465169156122,7.56500296436522e-11,1.3316250339957e-08,"9493"
"35509",1.62197922726641,4.95980589150099,7.62105650651156e-11,1.33497972833723e-08,"35509"
"21183",1.80256720798424,3.36190253388928,8.85290523619083e-11,1.54327094419298e-08,"21183"
"31631",6.72846011506394,0.0532038833572471,9.14407305971843e-11,1.58636479019202e-08,"31631"
"23413",1.58676968362155,5.63644084051549,1.0103693273785e-10,1.7444582382035e-08,"23413"
"16249",1.52950744649519,6.77091845354448,1.04768110490265e-10,1.80026536525773e-08,"16249"
"18619",1.84142088460221,3.15588429882532,1.06613334803802e-10,1.82329013573231e-08,"18619"
"40608",1.8637000893083,3.15585840001982,1.13084248033691e-10,1.92483258976214e-08,"40608"
"24296",2.2134054618454,2.26892999869282,1.22630632844624e-10,2.07752412497571e-08,"24296"
"40615",1.70067897501271,4.05459413265258,1.23518253469599e-10,2.08278326002359e-08,"40615"
"30616",1.70303542330221,3.96287300552104,1.31797984298282e-10,2.21206058762954e-08,"30616"
"24301",1.6695066610549,4.15644953548368,1.51169814587215e-10,2.52544572193503e-08,"24301"
